type,title,country,date_added,release_year,rating,duration
Movie,Dick Johnson Is Dead,United States,"September 25, 2021",2020,PG-13,90 min
TV Show,Blood & Water,South Africa,"September 24, 2021",2021,TV-MA,2 Seasons
TV Show,Ganglands,,"September 24, 2021",2021,TV-MA,1 Season
TV Show,Jailbirds New Orleans,,"September 24, 2021",2021,TV-MA,1 Season
TV Show,Kota Factory,India,"September 24, 2021",2021,TV-MA,2 Seasons
TV Show,Midnight Mass,,"September 24, 2021",2021,TV-MA,1 Season
Movie,My Little Pony: A New Generation,,"September 24, 2021",2021,PG,91 min
Movie,Sankofa,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia","September 24, 2021",1993,TV-MA,125 min
TV Show,The Great British Baking Show,United Kingdom,"September 24, 2021",2021,TV-14,9 Seasons
Movie,The Starling,United States,"September 24, 2021",2021,PG-13,104 min
TV Show,"Vendetta: Truth, Lies and The Mafia",,"September 24, 2021",2021,TV-MA,1 Season
TV Show,Bangkok Breaking,,"September 23, 2021",2021,TV-MA,1 Season
Movie,Je Suis Karl,"Germany, Czech Republic","September 23, 2021",2021,TV-MA,127 min
Movie,Confessions of an Invisible Girl,,"September 22, 2021",2021,TV-PG,91 min
TV Show,Crime Stories: India Detectives,,"September 22, 2021",2021,TV-MA,1 Season
TV Show,Dear White People,United States,"September 22, 2021",2021,TV-MA,4 Seasons
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,,"September 22, 2021",2020,TV-MA,67 min
TV Show,Falsa identidad,Mexico,"September 22, 2021",2020,TV-MA,2 Seasons
Movie,Intrusion,,"September 22, 2021",2021,TV-14,94 min
TV Show,Jaguar,,"September 22, 2021",2021,TV-MA,1 Season
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,,"September 22, 2021",2021,TV-14,1 Season
TV Show,Resurrection: Ertugrul,Turkey,"September 22, 2021",2018,TV-14,5 Seasons
Movie,Avvai Shanmughi,,"September 21, 2021",1996,TV-PG,161 min
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,,"September 21, 2021",2021,TV-Y,61 min
Movie,Jeans,India,"September 21, 2021",1998,TV-14,166 min
TV Show,Love on the Spectrum,Australia,"September 21, 2021",2021,TV-14,2 Seasons
Movie,Minsara Kanavu,,"September 21, 2021",1997,TV-PG,147 min
Movie,Grown Ups,United States,"September 20, 2021",2010,PG-13,103 min
Movie,Dark Skies,United States,"September 19, 2021",2013,PG-13,97 min
Movie,Paranoia,"United States, India, France","September 19, 2021",2013,PG-13,106 min
Movie,Ankahi Kahaniya,,"September 17, 2021",2021,TV-14,111 min
TV Show,Chicago Party Aunt,,"September 17, 2021",2021,TV-MA,1 Season
TV Show,Sex Education,United Kingdom,"September 17, 2021",2020,TV-MA,3 Seasons
TV Show,Squid Game,,"September 17, 2021",2021,TV-MA,1 Season
TV Show,Tayo and Little Wizards,,"September 17, 2021",2020,TV-Y7,1 Season
Movie,The Father Who Moves Mountains,,"September 17, 2021",2021,TV-MA,110 min
Movie,The Stronghold,,"September 17, 2021",2021,TV-MA,105 min
TV Show,Angry Birds,Finland,"September 16, 2021",2018,TV-Y7,1 Season
Movie,Birth of the Dragon,"China, Canada, United States","September 16, 2021",2017,PG-13,96 min
TV Show,Chhota Bheem,India,"September 16, 2021",2021,TV-Y7,3 Seasons
